,nertag,s_id,w_id,word
0,O,1.0,0.0,By
1,O,1.0,1.0,looking
2,O,1.0,2.0,at
3,O,1.0,3.0,your
4,O,1.0,4.0,list
5,O,1.0,5.0,I
6,O,1.0,6.0,really
7,O,1.0,7.0,think
8,PERSON,1.0,8.0,Michelle
9,PERSON,1.0,9.0,Pfeiffer
10,O,1.0,10.0,is
11,O,1.0,11.0,amazingly
12,O,1.0,12.0,sexy
0,PERSON,2.0,0.0,Kate
1,PERSON,2.0,1.0,Hudson
2,O,2.0,2.0,is
3,O,2.0,3.0,nice
0,O,3.0,0.0,Ca
1,O,3.0,1.0,n't
2,O,3.0,2.0,think
3,O,3.0,3.0,of
4,O,3.0,4.0,anyone
5,O,3.0,5.0,else
6,O,3.0,6.0,right
7,O,3.0,7.0,now
0,O,4.0,0.0,I
1,O,4.0,1.0,'d
2,O,4.0,2.0,have
3,O,4.0,3.0,to
4,O,4.0,4.0,say
5,O,4.0,5.0,my
6,O,4.0,6.0,celebrity
7,O,4.0,7.0,hottie
8,O,4.0,8.0,is
9,PERSON,4.0,9.0,Dennis
10,PERSON,4.0,10.0,Miller
0,O,5.0,0.0,And
1,O,5.0,1.0,were
2,O,5.0,2.0,I
3,O,5.0,3.0,to
4,O,5.0,4.0,swing
5,O,5.0,5.0,for
6,O,5.0,6.0,the
7,O,5.0,7.0,other
8,O,5.0,8.0,team
9,O,5.0,9.0,I
10,O,5.0,10.0,think
11,PERSON,5.0,11.0,Ben
12,PERSON,5.0,12.0,Affleck
13,O,5.0,13.0,'s
14,O,5.0,14.0,a
15,O,5.0,15.0,damn
16,O,5.0,16.0,fine
17,O,5.0,17.0,looking
18,O,5.0,18.0,man
0,O,6.0,0.0,I
1,O,6.0,1.0,like
2,PERSON,6.0,2.0,Kirstin
3,PERSON,6.0,3.0,Dunst
4,O,6.0,4.0,but
5,O,6.0,5.0,I
6,O,6.0,6.0,would
7,O,6.0,7.0,n't
8,O,6.0,8.0,label
9,O,6.0,9.0,her
10,O,6.0,10.0,as
11,O,6.0,11.0,sexy
0,PERSON,7.0,0.0,Sophia
1,PERSON,7.0,1.0,Loren
2,O,7.0,2.0,is
3,O,7.0,3.0,The
4,O,7.0,4.0,sexiest
5,O,7.0,5.0,woman
6,O,7.0,6.0,of
7,O,7.0,7.0,all
8,O,7.0,8.0,time
9,O,7.0,9.0,in
10,O,7.0,10.0,my
11,O,7.0,11.0,opinion
0,PERSON,8.0,0.0,Monica
1,PERSON,8.0,1.0,Bellucci
2,O,8.0,2.0,is
3,O,8.0,3.0,the
4,O,8.0,4.0,hottest
5,O,8.0,5.0,hooker
6,O,8.0,6.0,in
7,O,8.0,7.0,Brotherhood
8,O,8.0,8.0,of
9,O,8.0,9.0,the
10,PERSON,8.0,10.0,Wolf
0,O,9.0,0.0,I
1,O,9.0,1.0,really
2,O,9.0,2.0,do
3,O,9.0,3.0,n't
4,O,9.0,4.0,like
5,PERSON,9.0,5.0,Catherine
6,PERSON,9.0,6.0,Zeta
7,PERSON,9.0,7.0,Jones
8,O,9.0,8.0,anymore
0,PERSON,10.0,0.0,Sarah
1,PERSON,10.0,1.0,Michelle
2,PERSON,10.0,2.0,Gellar
3,O,10.0,3.0,really
4,O,10.0,4.0,gets
5,O,10.0,5.0,my
6,O,10.0,6.0,fire
7,O,10.0,7.0,going
0,PERSON,11.0,0.0,Angelina
1,PERSON,11.0,1.0,Jolie
2,O,11.0,2.0,has
3,O,11.0,3.0,a
4,O,11.0,4.0,great
5,O,11.0,5.0,body
6,O,11.0,6.0,and
7,O,11.0,7.0,various
8,O,11.0,8.0,tatoos
9,O,11.0,9.0,but
10,O,11.0,10.0,she
11,O,11.0,11.0,adopted
12,O,11.0,12.0,a
13,O,11.0,13.0,baby
14,O,11.0,14.0,from
15,O,11.0,15.0,a
16,O,11.0,16.0,country
17,O,11.0,17.0,that
18,O,11.0,18.0,is
19,O,11.0,19.0,n't
20,O,11.0,20.0,so
21,O,11.0,21.0,lucky
22,O,11.0,22.0,as
23,O,11.0,23.0,ours
0,PERSON,12.0,0.0,Harrison
1,PERSON,12.0,1.0,Ford
2,O,12.0,2.0,especially
3,O,12.0,3.0,in
4,O,12.0,4.0,Witness
0,O,13.0,0.0,I
1,O,13.0,1.0,think
2,O,13.0,2.0,that
3,PERSON,13.0,3.0,Emma
4,PERSON,13.0,4.0,Watson
5,O,13.0,5.0,is
6,O,13.0,6.0,really
7,O,13.0,7.0,hot
0,O,14.0,0.0,I
1,O,14.0,1.0,still
2,O,14.0,2.0,like
3,O,14.0,3.0,my
4,O,14.0,4.0,pick
5,O,14.0,5.0,the
6,O,14.0,6.0,most
7,PERSON,14.0,7.0,Emma
8,PERSON,14.0,8.0,Watson
0,O,15.0,0.0,I
1,O,15.0,1.0,have
2,O,15.0,2.0,to
3,O,15.0,3.0,say
4,PERSON,15.0,4.0,Salma
5,PERSON,15.0,5.0,Hayek
6,O,15.0,6.0,to
7,O,15.0,7.0,me
8,O,15.0,8.0,is
9,O,15.0,9.0,the
10,O,15.0,10.0,closest
11,O,15.0,11.0,thing
12,O,15.0,12.0,to
13,O,15.0,13.0,perfection
14,O,15.0,14.0,in
15,O,15.0,15.0,this
16,O,15.0,16.0,world
0,O,16.0,0.0,My
1,O,16.0,1.0,favorite
2,O,16.0,2.0,actress
3,O,16.0,3.0,is
4,PERSON,16.0,4.0,Kate
5,PERSON,16.0,5.0,Hudson
0,PERSON,17.0,0.0,Michael
1,PERSON,17.0,1.0,Pitt
2,O,17.0,2.0,is
3,O,17.0,3.0,absolutely
4,O,17.0,4.0,gorgeous
0,O,18.0,0.0,Yeah
1,O,18.0,1.0,I
2,O,18.0,2.0,'d
3,O,18.0,3.0,have
4,O,18.0,4.0,to
5,O,18.0,5.0,agree
0,PERSON,19.0,0.0,Jennifer
1,PERSON,19.0,1.0,Aniston
2,O,19.0,2.0,is
3,O,19.0,3.0,a
4,O,19.0,4.0,nice
5,O,19.0,5.0,peice
6,O,19.0,6.0,of
7,O,19.0,7.0,ass
0,O,20.0,0.0,The
1,ORGANIZATION,20.0,1.0,Green
2,ORGANIZATION,20.0,2.0,Lantern
3,ORGANIZATION,20.0,3.0,Corps
4,O,20.0,4.0,has
5,O,20.0,5.0,battled
6,O,20.0,6.0,against
7,O,20.0,7.0,the
8,O,20.0,8.0,forces
9,O,20.0,9.0,of
10,O,20.0,10.0,evil
11,O,20.0,11.0,and
12,O,20.0,12.0,chaos
13,O,20.0,13.0,for
14,O,20.0,14.0,a
15,O,20.0,15.0,millennium
0,PERSON,21.0,0.0,Jessica
1,PERSON,21.0,1.0,Biel
2,O,21.0,2.0,and
3,PERSON,21.0,3.0,Angelina
4,PERSON,21.0,4.0,Jolie
5,O,21.0,5.0,have
6,O,21.0,6.0,gorgeous
7,O,21.0,7.0,faces
0,O,22.0,0.0,Classy
1,O,22.0,1.0,is
2,O,22.0,2.0,probably
3,O,22.0,3.0,the
4,O,22.0,4.0,least
5,O,22.0,5.0,likely
6,O,22.0,6.0,word
7,O,22.0,7.0,you
8,O,22.0,8.0,would
9,O,22.0,9.0,expect
10,O,22.0,10.0,hear
11,O,22.0,11.0,associated
12,O,22.0,12.0,with
13,PERSON,22.0,13.0,Clara
14,PERSON,22.0,14.0,Bow
0,O,23.0,0.0,I
1,O,23.0,1.0,adore
2,PERSON,23.0,2.0,Shawnee
3,PERSON,23.0,3.0,Smith
4,O,23.0,4.0,a
5,O,23.0,5.0,whole
6,O,23.0,6.0,lot
0,PERSON,24.0,0.0,Josie
1,PERSON,24.0,1.0,Maran
2,O,24.0,2.0,was
3,O,24.0,3.0,one
4,O,24.0,4.0,of
5,PERSON,24.0,5.0,Dracula
6,O,24.0,6.0,'s
7,O,24.0,7.0,Brides
8,O,24.0,8.0,in
9,PERSON,24.0,9.0,Van
10,PERSON,24.0,10.0,Hesling
0,O,25.0,0.0,Sexiest
1,O,25.0,1.0,Actor
2,O,25.0,2.0,is
3,PERSON,25.0,3.0,Brad
4,PERSON,25.0,4.0,Pitt
0,O,26.0,0.0,Sexiest
1,O,26.0,1.0,actress
2,PERSON,26.0,2.0,Angelina
3,PERSON,26.0,3.0,Jolie
0,O,27.0,0.0,Sorry
1,O,27.0,1.0,but
2,O,27.0,2.0,I
3,O,27.0,3.0,absolutely
4,O,27.0,4.0,loath
5,PERSON,27.0,5.0,Keira
6,PERSON,27.0,6.0,Knightley
0,PERSON,28.0,0.0,Angelina
1,PERSON,28.0,1.0,Jolie
2,O,28.0,2.0,is
3,O,28.0,3.0,awesome
0,O,29.0,0.0,I
1,O,29.0,1.0,also
2,O,29.0,2.0,forget
3,O,29.0,3.0,to
4,O,29.0,4.0,mention
5,O,29.0,5.0,the
6,O,29.0,6.0,gorgeous
7,PERSON,29.0,7.0,Antonio
8,PERSON,29.0,8.0,Banderas
0,O,30.0,0.0,Some
1,O,30.0,1.0,day
2,O,30.0,2.0,I
3,O,30.0,3.0,would
4,O,30.0,4.0,love
5,O,30.0,5.0,to
6,O,30.0,6.0,ask
7,PERSON,30.0,7.0,Catherine
8,PERSON,30.0,8.0,Zeta
9,PERSON,30.0,9.0,Jones
10,O,30.0,10.0,out
0,O,31.0,0.0,I
1,O,31.0,1.0,'ll
2,O,31.0,2.0,take
3,PERSON,31.0,3.0,Hugh
4,PERSON,31.0,4.0,Jackman
5,O,31.0,5.0,and
6,O,31.0,6.0,leave
7,O,31.0,7.0,the
8,O,31.0,8.0,rest
9,O,31.0,9.0,to
10,O,31.0,10.0,everyone
11,O,31.0,11.0,else
0,O,32.0,0.0,The
1,O,32.0,1.0,red
2,O,32.0,2.0,haired
3,O,32.0,3.0,actress
4,O,32.0,4.0,is
5,O,32.0,5.0,called
6,PERSON,32.0,6.0,Lauren
7,PERSON,32.0,7.0,Ambrose
0,PERSON,33.0,0.0,Jennifer
1,PERSON,33.0,1.0,Connelly
2,O,33.0,2.0,is
3,O,33.0,3.0,beautiful
4,O,33.0,4.0,in
5,O,33.0,5.0,that
6,O,33.0,6.0,remarkable
7,O,33.0,7.0,way
0,O,34.0,0.0,I
1,O,34.0,1.0,do
2,O,34.0,2.0,like
3,PERSON,34.0,3.0,Jennifer
4,PERSON,34.0,4.0,Connelly
5,O,34.0,5.0,better
6,O,34.0,6.0,than
7,PERSON,34.0,7.0,Keira
8,PERSON,34.0,8.0,Knightly
0,O,35.0,0.0,Well
1,O,35.0,1.0,if
2,O,35.0,2.0,I
3,O,35.0,3.0,had
4,O,35.0,4.0,to
5,O,35.0,5.0,stick
6,O,35.0,6.0,to
7,O,35.0,7.0,people
8,O,35.0,8.0,my
9,O,35.0,9.0,age
10,O,35.0,10.0,I
11,O,35.0,11.0,'d
12,O,35.0,12.0,say
13,PERSON,35.0,13.0,Emma
14,PERSON,35.0,14.0,Watson
15,O,35.0,15.0,but
16,PERSON,35.0,16.0,Kate
17,PERSON,35.0,17.0,Hudson
18,O,35.0,18.0,is
19,O,35.0,19.0,my
20,O,35.0,20.0,pick
0,PERSON,36.0,0.0,Angelina
1,PERSON,36.0,1.0,Jolie
2,O,36.0,2.0,owns
3,O,36.0,3.0,my
4,O,36.0,4.0,manhood
0,PERSON,37.0,0.0,Jake
1,PERSON,37.0,1.0,Gyllenhaal
2,O,37.0,2.0,is
3,O,37.0,3.0,rather
4,O,37.0,4.0,dreamy
0,O,38.0,0.0,I
1,O,38.0,1.0,have
2,O,38.0,2.0,also
3,O,38.0,3.0,had
4,O,38.0,4.0,a
5,O,38.0,5.0,long
6,O,38.0,6.0,term
7,O,38.0,7.0,love
8,O,38.0,8.0,affair
9,O,38.0,9.0,with
10,PERSON,38.0,10.0,Jareod
11,PERSON,38.0,11.0,Leto
0,O,39.0,0.0,I
1,O,39.0,1.0,bet
2,O,39.0,2.0,he
3,O,39.0,3.0,passes
4,O,39.0,4.0,up
5,PERSON,39.0,5.0,Tobey
6,O,39.0,6.0,in
7,O,39.0,7.0,the
8,O,39.0,8.0,popularity
9,O,39.0,9.0,department
10,O,39.0,10.0,some
11,O,39.0,11.0,time
12,O,39.0,12.0,soon
0,O,40.0,0.0,I
1,O,40.0,1.0,'m
2,O,40.0,2.0,attracted
3,O,40.0,3.0,to
4,O,40.0,4.0,that
5,PERSON,40.0,5.0,Monica
6,PERSON,40.0,6.0,Bellucci
7,O,40.0,7.0,actress
0,PERSON,41.0,0.0,Naomi
1,PERSON,41.0,1.0,Watts
2,O,41.0,2.0,is
3,O,41.0,3.0,the
4,O,41.0,4.0,most
5,O,41.0,5.0,beautiful
6,O,41.0,6.0,and
7,O,41.0,7.0,talented
8,O,41.0,8.0,actress
9,O,41.0,9.0,in
10,O,41.0,10.0,hollywood
0,O,42.0,0.0,I
1,O,42.0,1.0,think
2,PERSON,42.0,2.0,Naomi
3,PERSON,42.0,3.0,Watts
4,O,42.0,4.0,is
5,O,42.0,5.0,beautiful
6,O,42.0,6.0,until
7,O,42.0,7.0,she
8,O,42.0,8.0,starts
9,O,42.0,9.0,talking
0,PERSON,43.0,0.0,Tom
1,PERSON,43.0,1.0,Hardy
2,O,43.0,2.0,has
3,O,43.0,3.0,dropped
4,O,43.0,4.0,out
5,O,43.0,5.0,of
6,O,43.0,6.0,Suicide
7,O,43.0,7.0,Squad
8,O,43.0,8.0,due
9,O,43.0,9.0,to
10,O,43.0,10.0,scheduling
0,PERSON,44.0,0.0,Elba
1,O,44.0,1.0,would
2,O,44.0,2.0,be
3,O,44.0,3.0,a
4,O,44.0,4.0,fantastic
5,PERSON,44.0,5.0,Bond
6,O,44.0,6.0,but
7,O,44.0,7.0,I
8,O,44.0,8.0,fear
9,O,44.0,9.0,it
10,O,44.0,10.0,'s
11,O,44.0,11.0,too
12,O,44.0,12.0,late
13,O,44.0,13.0,in
14,O,44.0,14.0,the
15,O,44.0,15.0,game
0,PERSON,45.0,0.0,Jake
1,PERSON,45.0,1.0,Gyllenhaal
2,O,45.0,2.0,is
3,O,45.0,3.0,rumored
4,O,45.0,4.0,to
5,O,45.0,5.0,replace
0,O,46.0,0.0,The
1,O,46.0,1.0,most
2,O,46.0,2.0,obvious
3,O,46.0,3.0,choice
4,O,46.0,4.0,for
5,O,46.0,5.0,me
6,O,46.0,6.0,is
7,PERSON,46.0,7.0,Sean
8,PERSON,46.0,8.0,Penn
0,PERSON,47.0,0.0,John
1,PERSON,47.0,1.0,Turturro
2,O,47.0,2.0,was
3,O,47.0,3.0,a
4,O,47.0,4.0,great
5,O,47.0,5.0,choice
0,PERSON,48.0,0.0,Dustin
1,PERSON,48.0,1.0,Hoffman
2,O,48.0,2.0,is
3,O,48.0,3.0,another
4,O,48.0,4.0,actor
5,O,48.0,5.0,I
6,O,48.0,6.0,'m
7,O,48.0,7.0,always
8,O,48.0,8.0,willing
9,O,48.0,9.0,to
10,O,48.0,10.0,take
11,O,48.0,11.0,a
12,O,48.0,12.0,chance
13,O,48.0,13.0,on
0,O,49.0,0.0,I
1,O,49.0,1.0,did
2,O,49.0,2.0,n't
3,O,49.0,3.0,care
4,O,49.0,4.0,for
5,O,49.0,5.0,the
6,O,49.0,6.0,subject
7,O,49.0,7.0,matter
8,O,49.0,8.0,and
9,O,49.0,9.0,I
10,O,49.0,10.0,do
11,O,49.0,11.0,n't
12,O,49.0,12.0,like
13,PERSON,49.0,13.0,Tom
14,PERSON,49.0,14.0,Cruise
0,PERSON,50.0,0.0,Lee
1,PERSON,50.0,1.0,Marvin
2,O,50.0,2.0,was
3,O,50.0,3.0,another
4,O,50.0,4.0,actor
5,O,50.0,5.0,with
6,O,50.0,6.0,that
7,O,50.0,7.0,quality
0,O,51.0,0.0,For
1,O,51.0,1.0,me
2,O,51.0,2.0,I
3,O,51.0,3.0,'d
4,O,51.0,4.0,pay
5,O,51.0,5.0,to
6,O,51.0,6.0,see
7,PERSON,51.0,7.0,Bette
8,PERSON,51.0,8.0,Davis
9,PERSON,51.0,9.0,Katharine
10,PERSON,51.0,10.0,Hepburn
11,PERSON,51.0,11.0,Greer
12,PERSON,51.0,12.0,Garson
13,O,51.0,13.0,and
14,PERSON,51.0,14.0,Cary
15,PERSON,51.0,15.0,Grant
16,O,51.0,16.0,in
17,O,51.0,17.0,anything
0,PERSON,52.0,0.0,Michael
1,PERSON,52.0,1.0,Caine
2,O,52.0,2.0,however
3,O,52.0,3.0,has
4,O,52.0,4.0,been
5,O,52.0,5.0,in
6,O,52.0,6.0,both
7,O,52.0,7.0,some
8,O,52.0,8.0,of
9,O,52.0,9.0,the
10,O,52.0,10.0,best
11,O,52.0,11.0,and
12,O,52.0,12.0,some
13,O,52.0,13.0,of
14,O,52.0,14.0,the
15,O,52.0,15.0,worst
16,O,52.0,16.0,movies
